Record date,GEO,Type of stock,Type of crop,K tonnes
31/12/2014,Prince Edward Island,Farm stocks,Wheat,15
31/12/2014,Nova Scotia,Farm stocks,Barley,3
31/12/2014,Nova Scotia,Farm stocks,Corn,26
31/12/2014,Nova Scotia,Farm stocks,Oats,1
31/12/2014,Nova Scotia,Farm stocks,Soybeans,6
31/12/2014,Nova Scotia,Farm stocks,Wheat,5
31/12/2014,Nova Scotia,Farm stocks,Wheat,5
31/12/2014,New Brunswick,Farm stocks,Barley,11
31/12/2014,New Brunswick,Farm stocks,Canola,0
31/12/2014,New Brunswick,Farm stocks,Corn,14
31/12/2014,New Brunswick,Farm stocks,Oats,15
31/12/2014,New Brunswick,Farm stocks,Soybeans,5
31/12/2014,New Brunswick,Farm stocks,Wheat,5
31/12/2014,New Brunswick,Farm stocks,Wheat,5
31/12/2014,Quebec,Farm stocks,Barley,100
31/12/2014,Quebec,Farm stocks,Canola,13
31/12/2014,Quebec,Farm stocks,Corn,2425
31/12/2014,Quebec,Farm stocks,Oats,85
31/12/2014,Quebec,Farm stocks,Rye,1
31/12/2014,Quebec,Farm stocks,Soybeans,393
31/12/2014,Quebec,Farm stocks,Wheat,85
31/12/2014,Quebec,Farm stocks,Wheat,85
31/12/2014,Ontario,Farm stocks,Barley,100
31/12/2014,Ontario,Farm stocks,Canola,7
31/12/2014,Ontario,Farm stocks,Corn,4550
31/12/2014,Ontario,Farm stocks,Oats,50
31/12/2014,Ontario,Farm stocks,Rye,5
31/12/2014,Ontario,Farm stocks,Soybeans,1175
31/12/2014,Ontario,Farm stocks,Wheat,625
31/12/2014,Ontario,Farm stocks,Wheat,625
31/12/2014,Western Canada,Farm stocks,Barley,4830
31/12/2014,Western Canada,Farm stocks,Canary seed,0
31/12/2014,Western Canada,Farm stocks,Canola,11300
31/12/2014,Western Canada,Farm stocks,Chick peas,0
31/12/2014,Western Canada,Farm stocks,Corn,665
31/12/2014,Western Canada,Farm stocks,Flaxseed,505
31/12/2014,Western Canada,Farm stocks,Lentils,1549
31/12/2014,Western Canada,Farm stocks,Mustard seed,0
31/12/2014,Western Canada,Farm stocks,Oats,2225
31/12/2014,Western Canada,Farm stocks,Peas,2102
31/12/2014,Western Canada,Farm stocks,Rye,108
31/12/2014,Western Canada,Farm stocks,Soybeans,470
31/12/2014,Western Canada,Farm stocks,Sunflower seed,0
31/12/2014,Western Canada,Farm stocks,Wheat,20507
31/12/2014,Western Canada,Farm stocks,Wheat,3222
31/12/2014,Western Canada,Farm stocks,Wheat,17285
31/12/2014,Manitoba,Farm stocks,Barley,350
31/12/2014,Manitoba,Farm stocks,Canary seed,0
31/12/2014,Manitoba,Farm stocks,Canola,1595
31/12/2014,Manitoba,Farm stocks,Corn,600
31/12/2014,Manitoba,Farm stocks,Flaxseed,51
31/12/2014,Manitoba,Farm stocks,Lentils,0
31/12/2014,Manitoba,Farm stocks,Mustard seed,0
31/12/2014,Manitoba,Farm stocks,Oats,330
31/12/2014,Manitoba,Farm stocks,Peas,35
31/12/2014,Manitoba,Farm stocks,Rye,28
31/12/2014,Manitoba,Farm stocks,Soybeans,415
31/12/2014,Manitoba,Farm stocks,Sunflower seed,0
31/12/2014,Manitoba,Farm stocks,Wheat,2500
31/12/2014,Manitoba,Farm stocks,Wheat,0
31/12/2014,Manitoba,Farm stocks,Wheat,2500
31/12/2014,Saskatchewan,Farm stocks,Barley,1540
31/12/2014,Saskatchewan,Farm stocks,Canary seed,0
31/12/2014,Saskatchewan,Farm stocks,Canola,5660
31/12/2014,Saskatchewan,Farm stocks,Chick peas,0
31/12/2014,Saskatchewan,Farm stocks,Flaxseed,410
31/12/2014,Saskatchewan,Farm stocks,Lentils,1490
31/12/2014,Saskatchewan,Farm stocks,Mustard seed,0
31/12/2014,Saskatchewan,Farm stocks,Oats,1375
31/12/2014,Saskatchewan,Farm stocks,Peas,1305
31/12/2014,Saskatchewan,Farm stocks,Rye,60
31/12/2014,Saskatchewan,Farm stocks,Soybeans,55
31/12/2014,Saskatchewan,Farm stocks,Sunflower seed,0
31/12/2014,Saskatchewan,Farm stocks,Wheat,10885
31/12/2014,Saskatchewan,Farm stocks,Wheat,2885
31/12/2014,Saskatchewan,Farm stocks,Wheat,8000
31/12/2014,Alberta,Farm stocks,Barley,2915
31/12/2014,Alberta,Farm stocks,Canary seed,0
31/12/2014,Alberta,Farm stocks,Canola,4040
31/12/2014,Alberta,Farm stocks,Chick peas,0
31/12/2014,Alberta,Farm stocks,Corn,65
31/12/2014,Alberta,Farm stocks,Flaxseed,44
31/12/2014,Alberta,Farm stocks,Lentils,59
31/12/2014,Alberta,Farm stocks,Mustard seed,0
31/12/2014,Alberta,Farm stocks,Oats,485
31/12/2014,Alberta,Farm stocks,Peas,755
31/12/2014,Alberta,Farm stocks,Rye,20
31/12/2014,Alberta,Farm stocks,Sunflower seed,0
31/12/2014,Alberta,Farm stocks,Wheat,7087
31/12/2014,Alberta,Farm stocks,Wheat,337
31/12/2014,Alberta,Farm stocks,Wheat,6750
31/12/2014,British Columbia,Farm stocks,Barley,25
31/12/2014,British Columbia,Farm stocks,Canola,5
31/12/2014,British Columbia,Farm stocks,Oats,35
31/12/2014,British Columbia,Farm stocks,Peas,7
31/12/2014,British Columbia,Farm stocks,Wheat,35
31/12/2014,British Columbia,Farm stocks,Wheat,35
31/03/2015,Canada,Farm stocks,Barley,3101
31/03/2015,Canada,Farm stocks,Canary seed,0
31/03/2015,Canada,Farm stocks,Canola,6949
31/03/2015,Canada,Farm stocks,Chick peas,0
31/03/2015,Canada,Farm stocks,Corn,4675
31/03/2015,Canada,Farm stocks,Flaxseed,280
31/03/2015,Canada,Farm stocks,Lentils,1026
31/03/2015,Canada,Farm stocks,Mustard seed,0
31/03/2015,Canada,Farm stocks,Oats,1515
31/03/2015,Canada,Farm stocks,Peas,1434
31/03/2015,Canada,Farm stocks,Rye,73
31/03/2015,Canada,Farm stocks,Soybeans,1122
31/03/2015,Canada,Farm stocks,Sunflower seed,0
31/03/2015,Canada,Farm stocks,Wheat,13578
31/03/2015,Canada,Farm stocks,Wheat,1750
31/03/2015,Canada,Farm stocks,Wheat,11828
31/03/2015,Canada,Commercial stocks,Barley,304
31/03/2015,Canada,Commercial stocks,Canary seed,0
31/03/2015,Canada,Commercial stocks,Canola,1599
31/03/2015,Canada,Commercial stocks,Chick peas,0
31/03/2015,Canada,Commercial stocks,Corn,1614
31/03/2015,Canada,Commercial stocks,Flaxseed,102
31/03/2015,Canada,Commercial stocks,Lentils,133
31/03/2015,Canada,Commercial stocks,Mustard seed,0
31/03/2015,Canada,Commercial stocks,Oats,183
31/03/2015,Canada,Commercial stocks,Peas,309
31/03/2015,Canada,Commercial stocks,Rye,15
31/03/2015,Canada,Commercial stocks,Soybeans,956
31/03/2015,Canada,Commercial stocks,Sunflower seed,0
31/03/2015,Canada,Commercial stocks,Wheat,4416
31/03/2015,Canada,Commercial stocks,Wheat,808
31/03/2015,Canada,Commercial stocks,Wheat,3608
31/03/2015,Eastern Canada,Farm stocks,Barley,168
31/03/2015,Eastern Canada,Farm stocks,Canola,6
31/03/2015,Eastern Canada,Farm stocks,Corn,4365
31/03/2015,Eastern Canada,Farm stocks,Oats,96
31/03/2015,Eastern Canada,Farm stocks,Rye,2
31/03/2015,Eastern Canada,Farm stocks,Soybeans,922
31/03/2015,Eastern Canada,Farm stocks,Wheat,418
31/03/2015,Eastern Canada,Farm stocks,Wheat,418
31/03/2015,Prince Edward Island,Farm stocks,Barley,27
31/03/2015,Prince Edward Island,Farm stocks,Corn,0
31/03/2015,Prince Edward Island,Farm stocks,Oats,2
31/03/2015,Prince Edward Island,Farm stocks,Soybeans,11
31/03/2015,Prince Edward Island,Farm stocks,Wheat,8
31/03/2015,Prince Edward Island,Farm stocks,Wheat,8
31/03/2015,Nova Scotia,Farm stocks,Barley,1
31/03/2015,Nova Scotia,Farm stocks,Corn,11
31/03/2015,Nova Scotia,Farm stocks,Oats,1
31/03/2015,Nova Scotia,Farm stocks,Soybeans,2
31/03/2015,Nova Scotia,Farm stocks,Wheat,2
31/03/2015,Nova Scotia,Farm stocks,Wheat,2
31/03/2015,New Brunswick,Farm stocks,Barley,5
31/03/2015,New Brunswick,Farm stocks,Canola,0
31/03/2015,New Brunswick,Farm stocks,Corn,4
31/03/2015,New Brunswick,Farm stocks,Oats,9
31/03/2015,New Brunswick,Farm stocks,Soybeans,2
31/03/2015,New Brunswick,Farm stocks,Wheat,3
31/03/2015,New Brunswick,Farm stocks,Wheat,3
31/03/2015,Quebec,Farm stocks,Barley,70
31/03/2015,Quebec,Farm stocks,Canola,4
31/03/2015,Quebec,Farm stocks,Corn,1450
31/03/2015,Quebec,Farm stocks,Oats,55
31/03/2015,Quebec,Farm stocks,Rye,0
31/03/2015,Quebec,Farm stocks,Soybeans,257
31/03/2015,Quebec,Farm stocks,Wheat,55
31/03/2015,Quebec,Farm stocks,Wheat,55
31/03/2015,Ontario,Farm stocks,Barley,65
31/03/2015,Ontario,Farm stocks,Canola,3
31/03/2015,Ontario,Farm stocks,Corn,2900
31/03/2015,Ontario,Farm stocks,Oats,30
31/03/2015,Ontario,Farm stocks,Rye,2
31/03/2015,Ontario,Farm stocks,Soybeans,650
31/03/2015,Ontario,Farm stocks,Wheat,350
31/03/2015,Ontario,Farm stocks,Wheat,350
31/03/2015,Western Canada,Farm stocks,Barley,2933
31/03/2015,Western Canada,Farm stocks,Canary seed,0
31/03/2015,Western Canada,Farm stocks,Canola,6943
31/03/2015,Western Canada,Farm stocks,Chick peas,0
31/03/2015,Western Canada,Farm stocks,Corn,310
31/03/2015,Western Canada,Farm stocks,Flaxseed,280
31/03/2015,Western Canada,Farm stocks,Lentils,1026
31/03/2015,Western Canada,Farm stocks,Mustard seed,0
31/03/2015,Western Canada,Farm stocks,Oats,1419
31/03/2015,Western Canada,Farm stocks,Peas,1434
31/03/2015,Western Canada,Farm stocks,Rye,71
31/03/2015,Western Canada,Farm stocks,Soybeans,200
31/03/2015,Western Canada,Farm stocks,Sunflower seed,0
31/03/2015,Western Canada,Farm stocks,Wheat,13160
31/03/2015,Western Canada,Farm stocks,Wheat,1750
31/03/2015,Western Canada,Farm stocks,Wheat,11410
31/03/2015,Manitoba,Farm stocks,Barley,245
31/03/2015,Manitoba,Farm stocks,Canary seed,0
31/03/2015,Manitoba,Farm stocks,Canola,960
31/03/2015,Manitoba,Farm stocks,Corn,275
31/03/2015,Manitoba,Farm stocks,Flaxseed,25
31/03/2015,Manitoba,Farm stocks,Lentils,0
31/03/2015,Manitoba,Farm stocks,Mustard seed,0
31/03/2015,Manitoba,Farm stocks,Oats,215
31/03/2015,Manitoba,Farm stocks,Peas,23
31/03/2015,Manitoba,Farm stocks,Rye,16
31/03/2015,Manitoba,Farm stocks,Soybeans,175
31/03/2015,Manitoba,Farm stocks,Sunflower seed,0
31/03/2015,Manitoba,Farm stocks,Wheat,1585
31/03/2015,Manitoba,Farm stocks,Wheat,0
31/03/2015,Manitoba,Farm stocks,Wheat,1585
31/03/2015,Saskatchewan,Farm stocks,Barley,900
31/03/2015,Saskatchewan,Farm stocks,Canary seed,0
31/03/2015,Saskatchewan,Farm stocks,Canola,3355
31/03/2015,Saskatchewan,Farm stocks,Chick peas,0
31/03/2015,Saskatchewan,Farm stocks,Flaxseed,235
31/03/2015,Saskatchewan,Farm stocks,Lentils,995
31/03/2015,Saskatchewan,Farm stocks,Mustard seed,0
31/03/2015,Saskatchewan,Farm stocks,Oats,845
31/03/2015,Saskatchewan,Farm stocks,Peas,942
31/03/2015,Saskatchewan,Farm stocks,Rye,40
31/03/2015,Saskatchewan,Farm stocks,Soybeans,25
31/03/2015,Saskatchewan,Farm stocks,Sunflower seed,0
31/03/2015,Saskatchewan,Farm stocks,Wheat,7000
31/03/2015,Saskatchewan,Farm stocks,Wheat,1600
31/03/2015,Saskatchewan,Farm stocks,Wheat,5400
31/03/2015,Alberta,Farm stocks,Barley,1775
31/03/2015,Alberta,Farm stocks,Canary seed,0
31/03/2015,Alberta,Farm stocks,Canola,2625
31/03/2015,Alberta,Farm stocks,Chick peas,0
31/03/2015,Alberta,Farm stocks,Corn,35
31/03/2015,Alberta,Farm stocks,Flaxseed,20
31/03/2015,Alberta,Farm stocks,Lentils,31
31/03/2015,Alberta,Farm stocks,Mustard seed,0
31/03/2015,Alberta,Farm stocks,Oats,340
31/03/2015,Alberta,Farm stocks,Peas,465
31/03/2015,Alberta,Farm stocks,Rye,15
31/03/2015,Alberta,Farm stocks,Sunflower seed,0
31/03/2015,Alberta,Farm stocks,Wheat,4550
31/03/2015,Alberta,Farm stocks,Wheat,150
31/03/2015,Alberta,Farm stocks,Wheat,4400
31/03/2015,British Columbia,Farm stocks,Barley,13
31/03/2015,British Columbia,Farm stocks,Canola,3
31/03/2015,British Columbia,Farm stocks,Oats,19
31/03/2015,British Columbia,Farm stocks,Peas,4
31/03/2015,British Columbia,Farm stocks,Wheat,25
31/03/2015,British Columbia,Farm stocks,Wheat,25
31/07/2015,Canada,Farm stocks,Barley,1045
31/07/2015,Canada,Farm stocks,Canary seed,0
31/07/2015,Canada,Farm stocks,Canola,1235
31/07/2015,Canada,Farm stocks,Chick peas,0
31/07/2015,Canada,Farm stocks,Corn,950
31/07/2015,Canada,Farm stocks,Flaxseed,61
31/07/2015,Canada,Farm stocks,Lentils,320
31/07/2015,Canada,Farm stocks,Mustard seed,0
31/07/2015,Canada,Farm stocks,Oats,522
31/07/2015,Canada,Farm stocks,Peas,555
31/07/2015,Canada,Farm stocks,Rye,30
31/07/2015,Canada,Farm stocks,Soybeans,117
31/07/2015,Canada,Farm stocks,Sunflower seed,0
31/07/2015,Canada,Farm stocks,Wheat,2868
31/07/2015,Canada,Farm stocks,Wheat,365
31/07/2015,Canada,Farm stocks,Wheat,2503
31/07/2015,Canada,Commercial stocks,Barley,172
31/07/2015,Canada,Commercial stocks,Canary seed,0
31/07/2015,Canada,Commercial stocks,Canola,1338
31/07/2015,Canada,Commercial stocks,Chick peas,0
31/07/2015,Canada,Commercial stocks,Corn,452
31/07/2015,Canada,Commercial stocks,Flaxseed,38
31/07/2015,Canada,Commercial stocks,Lentils,43
31/07/2015,Canada,Commercial stocks,Mustard seed,0
31/07/2015,Canada,Commercial stocks,Oats,179
31/07/2015,Canada,Commercial stocks,Peas,129
31/07/2015,Canada,Commercial stocks,Rye,12
31/07/2015,Canada,Commercial stocks,Soybeans,341
31/07/2015,Canada,Commercial stocks,Sunflower seed,0
31/07/2015,Canada,Commercial stocks,Wheat,4233
31/07/2015,Canada,Commercial stocks,Wheat,611
31/07/2015,Canada,Commercial stocks,Wheat,3622
31/07/2015,Eastern Canada,Farm stocks,Barley,55
31/07/2015,Eastern Canada,Farm stocks,Canola,0
31/07/2015,Eastern Canada,Farm stocks,Corn,875
31/07/2015,Eastern Canada,Farm stocks,Oats,17
31/07/2015,Eastern Canada,Farm stocks,Rye,0
31/07/2015,Eastern Canada,Farm stocks,Soybeans,112
31/07/2015,Eastern Canada,Farm stocks,Wheat,65
31/07/2015,Eastern Canada,Farm stocks,Wheat,65
31/07/2015,Prince Edward Island,Farm stocks,Barley,5
31/07/2015,Prince Edward Island,Farm stocks,Corn,0
31/07/2015,Prince Edward Island,Farm stocks,Oats,0
31/07/2015,Prince Edward Island,Farm stocks,Soybeans,0
31/07/2015,Prince Edward Island,Farm stocks,Wheat,0
31/07/2015,Prince Edward Island,Farm stocks,Wheat,0
31/07/2015,Nova Scotia,Farm stocks,Barley,0
31/07/2015,Nova Scotia,Farm stocks,Corn,0
31/07/2015,Nova Scotia,Farm stocks,Oats,0
31/07/2015,Nova Scotia,Farm stocks,Soybeans,0
31/07/2015,Nova Scotia,Farm stocks,Wheat,0
31/07/2015,Nova Scotia,Farm stocks,Wheat,0
31/07/2015,New Brunswick,Farm stocks,Barley,0
31/07/2015,New Brunswick,Farm stocks,Canola,0
31/07/2015,New Brunswick,Farm stocks,Corn,0
31/07/2015,New Brunswick,Farm stocks,Oats,0
31/07/2015,New Brunswick,Farm stocks,Soybeans,0
31/07/2015,New Brunswick,Farm stocks,Wheat,0
31/07/2015,New Brunswick,Farm stocks,Wheat,0
31/07/2015,Quebec,Farm stocks,Barley,25
31/07/2015,Quebec,Farm stocks,Canola,0
31/07/2015,Quebec,Farm stocks,Corn,275
31/07/2015,Quebec,Farm stocks,Oats,15
31/07/2015,Quebec,Farm stocks,Rye,0
31/07/2015,Quebec,Farm stocks,Soybeans,52
31/07/2015,Quebec,Farm stocks,Wheat,10
31/07/2015,Quebec,Farm stocks,Wheat,10
31/07/2015,Ontario,Farm stocks,Barley,25
31/07/2015,Ontario,Farm stocks,Canola,0
31/07/2015,Ontario,Farm stocks,Corn,600
31/07/2015,Ontario,Farm stocks,Oats,2
31/07/2015,Ontario,Farm stocks,Rye,0
31/07/2015,Ontario,Farm stocks,Soybeans,60
31/07/2015,Ontario,Farm stocks,Wheat,55
31/07/2015,Ontario,Farm stocks,Wheat,55
31/07/2015,Western Canada,Farm stocks,Barley,990
31/07/2015,Western Canada,Farm stocks,Canary seed,0
31/07/2015,Western Canada,Farm stocks,Canola,1235
31/07/2015,Western Canada,Farm stocks,Chick peas,0
31/07/2015,Western Canada,Farm stocks,Corn,75
31/07/2015,Western Canada,Farm stocks,Flaxseed,61
31/07/2015,Western Canada,Farm stocks,Lentils,320
31/07/2015,Western Canada,Farm stocks,Mustard seed,0
31/07/2015,Western Canada,Farm stocks,Oats,505
31/07/2015,Western Canada,Farm stocks,Peas,555
31/07/2015,Western Canada,Farm stocks,Rye,30
31/07/2015,Western Canada,Farm stocks,Soybeans,5
31/07/2015,Western Canada,Farm stocks,Sunflower seed,0
31/07/2015,Western Canada,Farm stocks,Wheat,2803
31/07/2015,Western Canada,Farm stocks,Wheat,365
31/07/2015,Western Canada,Farm stocks,Wheat,2438
31/07/2015,Manitoba,Farm stocks,Barley,90
31/07/2015,Manitoba,Farm stocks,Canary seed,0
31/07/2015,Manitoba,Farm stocks,Canola,100
31/07/2015,Manitoba,Farm stocks,Corn,75
31/07/2015,Manitoba,Farm stocks,Flaxseed,6
31/07/2015,Manitoba,Farm stocks,Lentils,0
31/07/2015,Manitoba,Farm stocks,Mustard seed,0
31/07/2015,Manitoba,Farm stocks,Oats,80
31/07/2015,Manitoba,Farm stocks,Peas,0
31/07/2015,Manitoba,Farm stocks,Rye,2
31/07/2015,Manitoba,Farm stocks,Soybeans,5
31/07/2015,Manitoba,Farm stocks,Sunflower seed,0
31/07/2015,Manitoba,Farm stocks,Wheat,200
31/07/2015,Manitoba,Farm stocks,Wheat,0
31/07/2015,Manitoba,Farm stocks,Wheat,200
31/07/2015,Saskatchewan,Farm stocks,Barley,300
31/07/2015,Saskatchewan,Farm stocks,Canary seed,0
31/07/2015,Saskatchewan,Farm stocks,Canola,635
31/07/2015,Saskatchewan,Farm stocks,Chick peas,0
31/07/2015,Saskatchewan,Farm stocks,Flaxseed,50
31/07/2015,Saskatchewan,Farm stocks,Lentils,312
31/07/2015,Saskatchewan,Farm stocks,Mustard seed,0
31/07/2015,Saskatchewan,Farm stocks,Oats,275
31/07/2015,Saskatchewan,Farm stocks,Peas,355
31/07/2015,Saskatchewan,Farm stocks,Rye,20
31/07/2015,Saskatchewan,Farm stocks,Soybeans,0
31/07/2015,Saskatchewan,Farm stocks,Sunflower seed,0
31/07/2015,Saskatchewan,Farm stocks,Wheat,1700
31/07/2015,Saskatchewan,Farm stocks,Wheat,350
31/07/2015,Saskatchewan,Farm stocks,Wheat,1350
31/07/2015,Alberta,Farm stocks,Barley,600
31/07/2015,Alberta,Farm stocks,Canary seed,0
31/07/2015,Alberta,Farm stocks,Canola,500
31/07/2015,Alberta,Farm stocks,Chick peas,0
31/07/2015,Alberta,Farm stocks,Corn,0
31/07/2015,Alberta,Farm stocks,Flaxseed,5
31/07/2015,Alberta,Farm stocks,Lentils,8
31/07/2015,Alberta,Farm stocks,Mustard seed,0
31/07/2015,Alberta,Farm stocks,Oats,150
31/07/2015,Alberta,Farm stocks,Peas,200
31/07/2015,Alberta,Farm stocks,Rye,8
31/07/2015,Alberta,Farm stocks,Sunflower seed,0
31/07/2015,Alberta,Farm stocks,Wheat,890
31/07/2015,Alberta,Farm stocks,Wheat,15
31/07/2015,Alberta,Farm stocks,Wheat,875
31/07/2015,British Columbia,Farm stocks,Barley,0
31/07/2015,British Columbia,Farm stocks,Canola,0
31/07/2015,British Columbia,Farm stocks,Oats,0
31/07/2015,British Columbia,Farm stocks,Peas,0
31/07/2015,British Columbia,Farm stocks,Wheat,13
31/07/2015,British Columbia,Farm stocks,Wheat,13
31/12/2015,Canada,Farm stocks,Barley,5454
31/12/2015,Canada,Farm stocks,Canola,11833
31/12/2015,Canada,Farm stocks,Corn,8585
31/12/2015,Canada,Farm stocks,Flaxseed,684
31/12/2015,Canada,Farm stocks,Lentils,1037
31/12/2015,Canada,Farm stocks,Oats,2284
31/12/2015,Canada,Farm stocks,Peas,2112
31/12/2015,Canada,Farm stocks,Rye,124
31/12/2015,Canada,Farm stocks,Soybeans,2249
31/12/2015,Canada,Farm stocks,Wheat,17575
31/12/2015,Canada,Farm stocks,Wheat,3320
31/12/2015,Canada,Farm stocks,Wheat,14255
31/12/2015,Canada,Commercial stocks,Barley,232
31/12/2015,Canada,Commercial stocks,Canola,1674
31/12/2015,Canada,Commercial stocks,Corn,2729
31/12/2015,Canada,Commercial stocks,Flaxseed,72
31/12/2015,Canada,Commercial stocks,Lentils,149
31/12/2015,Canada,Commercial stocks,Oats,220
31/12/2015,Canada,Commercial stocks,Peas,261
31/12/2015,Canada,Commercial stocks,Rye,20
31/12/2015,Canada,Commercial stocks,Soybeans,1351
31/12/2015,Canada,Commercial stocks,Wheat,3856
31/12/2015,Canada,Commercial stocks,Wheat,911
31/12/2015,Canada,Commercial stocks,Wheat,2945
31/12/2015,Eastern Canada,Farm stocks,Barley,275
31/12/2015,Eastern Canada,Farm stocks,Canola,18
31/12/2015,Eastern Canada,Farm stocks,Corn,7895
31/12/2015,Eastern Canada,Farm stocks,Oats,245
31/12/2015,Eastern Canada,Farm stocks,Rye,20
31/12/2015,Eastern Canada,Farm stocks,Soybeans,1705
31/12/2015,Eastern Canada,Farm stocks,Wheat,635
31/12/2015,Eastern Canada,Farm stocks,Wheat,635
31/12/2015,Prince Edward Island,Farm stocks,Barley,49
31/12/2015,Prince Edward Island,Farm stocks,Corn,0
31/12/2015,Prince Edward Island,Farm stocks,Oats,6
31/12/2015,Prince Edward Island,Farm stocks,Soybeans,15
31/12/2015,Prince Edward Island,Farm stocks,Wheat,24
31/12/2015,Prince Edward Island,Farm stocks,Wheat,24
31/12/2015,Nova Scotia,Farm stocks,Barley,3
31/12/2015,Nova Scotia,Farm stocks,Corn,30
31/12/2015,Nova Scotia,Farm stocks,Oats,1
31/12/2015,Nova Scotia,Farm stocks,Soybeans,6
31/12/2015,Nova Scotia,Farm stocks,Wheat,8
31/12/2015,Nova Scotia,Farm stocks,Wheat,8
31/12/2015,New Brunswick,Farm stocks,Barley,13
31/12/2015,New Brunswick,Farm stocks,Canola,0
31/12/2015,New Brunswick,Farm stocks,Corn,15
31/12/2015,New Brunswick,Farm stocks,Oats,23
31/12/2015,New Brunswick,Farm stocks,Soybeans,4
31/12/2015,New Brunswick,Farm stocks,Wheat,8
31/12/2015,New Brunswick,Farm stocks,Wheat,8
31/12/2015,Quebec,Farm stocks,Barley,105
31/12/2015,Quebec,Farm stocks,Canola,9
31/12/2015,Quebec,Farm stocks,Corn,2950
31/12/2015,Quebec,Farm stocks,Oats,140
31/12/2015,Quebec,Farm stocks,Rye,5
31/12/2015,Quebec,Farm stocks,Soybeans,500
31/12/2015,Quebec,Farm stocks,Wheat,120
31/12/2015,Quebec,Farm stocks,Wheat,120
31/12/2015,Ontario,Farm stocks,Barley,105
31/12/2015,Ontario,Farm stocks,Canola,9
31/12/2015,Ontario,Farm stocks,Corn,4900
31/12/2015,Ontario,Farm stocks,Oats,75
31/12/2015,Ontario,Farm stocks,Rye,15
31/12/2015,Ontario,Farm stocks,Soybeans,1200
31/12/2015,Ontario,Farm stocks,Wheat,475
31/12/2015,Ontario,Farm stocks,Wheat,475
31/12/2015,Western Canada,Farm stocks,Barley,5179
31/12/2015,Western Canada,Farm stocks,Canola,11815
31/12/2015,Western Canada,Farm stocks,Corn,690
31/12/2015,Western Canada,Farm stocks,Flaxseed,684
31/12/2015,Western Canada,Farm stocks,Lentils,1037
31/12/2015,Western Canada,Farm stocks,Oats,2039
31/12/2015,Western Canada,Farm stocks,Peas,2112
31/12/2015,Western Canada,Farm stocks,Rye,104
31/12/2015,Western Canada,Farm stocks,Soybeans,524
31/12/2015,Western Canada,Farm stocks,Wheat,16940
31/12/2015,Western Canada,Farm stocks,Wheat,3320
31/12/2015,Western Canada,Farm stocks,Wheat,13620
31/12/2015,Manitoba,Farm stocks,Barley,435
31/12/2015,Manitoba,Farm stocks,Canola,1800
31/12/2015,Manitoba,Farm stocks,Corn,625
31/12/2015,Manitoba,Farm stocks,Flaxseed,44
31/12/2015,Manitoba,Farm stocks,Lentils,0
31/12/2015,Manitoba,Farm stocks,Oats,322
31/12/2015,Manitoba,Farm stocks,Peas,42
