Record date,Type of crop,Grade,Ktonnes,Region,Global_region,Destination
31/12/2014,Wheat,No.2 CW AD,75.5,St. Lawrence,Africa,Algeria
31/12/2014,Wheat,No.2 CW AD,1.6,St. Lawrence,Africa,West Africa
31/12/2014,Wheat,No.2 CW AD,3.2,St. Lawrence,Western Hemisphere,Cuba
31/12/2014,Wheat,No.2 CW AD,20,St. Lawrence,Western Hemisphere,Venezuela
31/12/2014,Wheat,No.3 CW AD,52.2,Vancouver,Western Europe,Italy
31/12/2014,Wheat,No.3 CW AD,22.5,Vancouver,Western Europe,Spain
31/12/2014,Wheat,No.3 CW AD,10.5,Thunder Bay,Western Europe,Belgium
31/12/2014,Wheat,No.3 CW AD,31.7,Thunder Bay,Western Europe,Italy
31/12/2014,Wheat,No.3 CW AD,12.8,Thunder Bay,Western Europe,Portugal
31/12/2014,Wheat,No.3 CW AD,9.4,St. Lawrence,Western Europe,Belgium
31/12/2014,Wheat,No.3 CW AD,10.8,St. Lawrence,Western Europe,Netherlands
31/12/2014,Wheat,No.4 CW AD,13.9,Thunder Bay,Western Europe,Italy
31/12/2014,Oats,No.1 CW,0.2,Prairie Elevators,Western Hemisphere,Mexico
31/12/2014,Oats,No.1 CW,72.4,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Oats,No.2 CW,12.5,Thunder Bay,Western Hemisphere,United States
31/12/2014,Barley,No.1 CW,9.9,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Barley,OTHER,43.4,Vancouver,Asia,China P.R.
31/12/2014,Rye,No.1 CW,2.1,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Flaxseed,No.1 CW,0,Prairie Elevators,Western Hemisphere,Mexico
31/12/2014,Flaxseed,No.1 CW,5.2,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Flaxseed,No.1 CW,14.2,Vancouver,Asia,China P.R.
31/12/2014,Canola,No.1 CANADA,29.8,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Canola,No.1 CANADA,184.4,Vancouver,Asia,China P.R.
31/12/2014,Canola,No.1 CANADA,158.8,Vancouver,Asia,Japan
31/12/2014,Canola,No.1 CANADA,57,Vancouver,Asia,Pakistan
31/12/2014,Canola,No.1 CANADA,45.6,Vancouver,Asia,United Arab Emirates
31/12/2014,Canola,No.1 CANADA,63.8,Prince Rupert,Asia,China P.R.
31/12/2014,Canola,No.1 CANADA,21,Thunder Bay,Western Hemisphere,Mexico
31/12/2014,Soybeans,No.1 CANADA,2.4,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Soybeans,No.2 CANADA,1.7,Bay & Lakes,Western Hemisphere,United States
31/12/2014,Soybeans,No.3 CANADA,0.1,Bay & Lakes,Western Hemisphere,United States
31/12/2014,Soybeans,No.4 CANADA,0.4,Bay & Lakes,Western Hemisphere,United States
31/12/2014,Peas,All grades combined,3.1,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Peas,All grades combined,83.6,Vancouver,Asia,Bangladesh
31/12/2014,Peas,All grades combined,32.6,Vancouver,Asia,China P.R.
31/12/2014,Peas,All grades combined,122.6,Vancouver,Asia,India
31/12/2014,Peas,All grades combined,0,Vancouver,Western Hemisphere,United States
31/12/2014,Peas,All grades combined,6.3,Thunder Bay,Western Europe,Portugal
31/12/2014,Peas,All grades combined,3.9,St. Lawrence,Western Europe,Portugal
31/12/2014,Peas,All grades combined,3.9,St. Lawrence,Western Europe,Spain
31/12/2014,Corn,No.1 CW,0,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Corn,No.2 CE,1,Bay & Lakes,Western Hemisphere,United States
31/12/2014,Corn,No.3 CE,9.8,Bay & Lakes,Western Europe,Ireland
31/12/2014,Corn,No.3 CE,53.5,St. Lawrence,Western Europe,Netherlands
31/12/2014,Corn,OTHER,6.4,St. Lawrence,Western Europe,Spain
31/12/2014,Mustard seed,No.1 CANADA,1,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Lentils,No.1 CANADA,3.2,Prairie Elevators,Western Hemisphere,Mexico
31/12/2014,Lentils,No.1 CANADA,1,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Wheat,FEED,31.6,Vancouver,Asia,Japan
31/12/2014,Wheat,No.1 CW RS,2.3,Prairie Elevators,Western Hemisphere,Mexico
31/12/2014,Wheat,No.1 CW RS,80.8,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Wheat,No.1 CW RS,5.2,Vancouver,Western Europe,Italy
31/12/2014,Wheat,No.1 CW RS,86.8,Vancouver,Asia,Bangladesh
31/12/2014,Wheat,No.1 CW RS,79.4,Vancouver,Asia,Japan
31/12/2014,Wheat,No.1 CW RS,21.6,Vancouver,Asia,United Arab Emirates
31/12/2014,Wheat,No.1 CW RS,64.7,Vancouver,Western Hemisphere,Chile
31/12/2014,Wheat,No.1 CW RS,3.3,Vancouver,Western Hemisphere,Costa Rica
31/12/2014,Wheat,No.1 CW RS,11.9,Vancouver,Western Hemisphere,Ecuador
31/12/2014,Wheat,No.1 CW RS,7.7,Vancouver,Western Hemisphere,Peru
31/12/2014,Wheat,No.1 CW RS,22,Prince Rupert,Asia,Japan
31/12/2014,Wheat,No.1 CW RS,13.4,Prince Rupert,Western Hemisphere,Colombia
31/12/2014,Wheat,No.1 CW RS,33.4,Prince Rupert,Western Hemisphere,Ecuador
31/12/2014,Wheat,No.1 CW RS,55,Prince Rupert,Western Hemisphere,Mexico
31/12/2014,Wheat,No.1 CW RS,15.4,Thunder Bay,Western Hemisphere,United States
31/12/2014,Wheat,No.1 CW RS,9.5,St. Lawrence,Western Europe,United Kingdom
31/12/2014,Wheat,No.2 C PS,8.8,Vancouver,Western Hemisphere,Colombia
31/12/2014,Wheat,No.2 CE,15.1,Bay & Lakes,Western Hemisphere,United States
31/12/2014,Wheat,No.2 CE,22.4,St. Lawrence,Western Hemisphere,Brazil
31/12/2014,Wheat,No.2 CE,10,St. Lawrence,Western Hemisphere,Venezuela
31/12/2014,Wheat,No.2 CW HWS,13,St. Lawrence,Africa,Nigeria
31/12/2014,Wheat,No.2 CW RS,40.1,Vancouver,Africa,Kenya
31/12/2014,Wheat,No.2 CW RS,20.4,Vancouver,Asia,Bangladesh
31/12/2014,Wheat,No.2 CW RS,75.4,Vancouver,Asia,Indonesia
31/12/2014,Wheat,No.2 CW RS,11.9,Vancouver,Asia,Kuwait
31/12/2014,Wheat,No.2 CW RS,11,Vancouver,Asia,Oman
31/12/2014,Wheat,No.2 CW RS,29.7,Vancouver,Asia,United Arab Emirates
31/12/2014,Wheat,No.2 CW RS,27.2,Vancouver,Western Hemisphere,Chile
31/12/2014,Wheat,No.2 CW RS,47.2,Vancouver,Western Hemisphere,Colombia
31/12/2014,Wheat,No.2 CW RS,15.4,Vancouver,Western Hemisphere,Costa Rica
31/12/2014,Wheat,No.2 CW RS,55,Prince Rupert,Asia,Bangladesh
31/12/2014,Wheat,No.2 CW RS,5.4,Churchill,Western Europe,Portugal
31/12/2014,Wheat,No.2 CW RS,71,Churchill,Africa,Nigeria
31/12/2014,Wheat,No.2 CW RS,42.8,Churchill,Africa,Sudan
31/12/2014,Wheat,No.2 CW RS,26.3,Churchill,Western Hemisphere,Brazil
31/12/2014,Wheat,No.2 CW RS,32.2,Churchill,Western Hemisphere,Colombia
31/12/2014,Wheat,No.2 CW RS,9.3,Thunder Bay,Western Europe,Italy
31/12/2014,Wheat,No.2 CW RS,19.7,Thunder Bay,Western Hemisphere,Colombia
31/12/2014,Wheat,No.2 CW RS,22,St. Lawrence,Western Europe,France
31/12/2014,Wheat,No.2 CW RS,25.9,St. Lawrence,Western Europe,Italy
31/12/2014,Wheat,No.2 CW RS,16.5,St. Lawrence,Africa,Cameroon
31/12/2014,Wheat,No.2 CW RS,12,St. Lawrence,Africa,Congo
31/12/2014,Wheat,No.2 CW RS,10,St. Lawrence,Africa,Ghana
31/12/2014,Wheat,No.2 CW RS,87.6,St. Lawrence,Africa,Nigeria
31/12/2014,Wheat,No.2 CW RS,26.3,St. Lawrence,Western Hemisphere,Cuba
31/12/2014,Wheat,No.2 CW RS,28.6,St. Lawrence,Western Hemisphere,Mexico
31/12/2014,Wheat,No.2 CW RS,67.5,St. Lawrence,Western Hemisphere,Venezuela
31/12/2014,Wheat,No.3 CE,0.3,Bay & Lakes,Western Hemisphere,United States
31/12/2014,Wheat,OTHER,63,Vancouver,Asia,Saudi Arabia
31/12/2014,Wheat,OTHER,12.1,St. Lawrence,Western Europe,United Kingdom
31/12/2014,Wheat,OTHER,63,St. Lawrence,Asia,Saudi Arabia
31/12/2014,Wheat,No.1 CW AD,16,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Wheat,No.1 CW AD,5.5,Vancouver,Western Hemisphere,Costa Rica
31/12/2014,Wheat,No.1 CW AD,32.3,Thunder Bay,Africa,Morocco
31/12/2014,Wheat,No.1 CW AD,5.5,St. Lawrence,Africa,Morocco
31/12/2014,Wheat,No.2 CW AD,11.2,Vancouver,Asia,Japan
31/12/2014,Wheat,No.2 CW AD,10.1,Vancouver,Asia,Kuwait
31/12/2014,Wheat,No.2 CW AD,10.9,Vancouver,Asia,United Arab Emirates
31/12/2014,Wheat,No.2 CW AD,9.9,Vancouver,Western Hemisphere,Chile
31/12/2014,Wheat,No.2 CW AD,11.2,Churchill,Africa,Nigeria
31/12/2014,Wheat,No.2 CW AD,10.5,Thunder Bay,Western Europe,Belgium
31/12/2014,Wheat,No.2 CW AD,11.6,Thunder Bay,Western Europe,Germany
31/12/2014,Wheat,No.2 CW AD,9.5,St. Lawrence,Western Europe,Germany
31/12/2014,Wheat,No.2 CW AD,35,St. Lawrence,Western Hemisphere,Venezuela
31/12/2014,Wheat,No.3 CW AD,10.3,Churchill,Western Europe,Portugal
31/12/2014,Wheat,No.3 CW AD,21.2,Thunder Bay,Western Europe,Belgium
31/12/2014,Wheat,No.3 CW AD,10.5,Thunder Bay,Western Europe,Germany
31/12/2014,Wheat,No.3 CW AD,5.3,Thunder Bay,Western Europe,Italy
31/12/2014,Wheat,No.3 CW AD,75.3,St. Lawrence,Western Europe,Italy
31/12/2014,Oats,No.1 CW,0.4,Prairie Elevators,Western Hemisphere,Mexico
31/12/2014,Oats,No.1 CW,82.7,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Oats,No.2 CW,12.5,Thunder Bay,Western Hemisphere,United States
31/12/2014,Barley,No.1 CW,19.6,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Barley,No.1 CW,9.2,Vancouver,Asia,China P.R.
31/12/2014,Barley,No.1 CW,40.6,Prince Rupert,Asia,Japan
31/12/2014,Barley,Select CW 2-Row,0.2,Thunder Bay,Western Hemisphere,United States
31/12/2014,Rye,No.1 CW,7.4,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Flaxseed,No.1 CW,0,Prairie Elevators,Western Hemisphere,Mexico
31/12/2014,Flaxseed,No.1 CW,4,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Flaxseed,No.1 CW,0.7,Thunder Bay,Western Hemisphere,United States
31/12/2014,Canola,No.1 CANADA,11.9,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Canola,No.1 CANADA,219.1,Vancouver,Asia,China P.R.
31/12/2014,Canola,No.1 CANADA,240.3,Vancouver,Asia,Japan
31/12/2014,Canola,No.1 CANADA,125.1,Prince Rupert,Asia,China P.R.
31/12/2014,Canola,No.1 CANADA,88,Prince Rupert,Western Hemisphere,Mexico
31/12/2014,Canola,No.1 CANADA,37.9,Churchill,Western Hemisphere,Mexico
31/12/2014,Canola,No.1 CANADA,46.3,Thunder Bay,Western Hemisphere,Mexico
31/12/2014,Soybeans,No.1 CANADA,3.3,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Soybeans,No.2 CANADA,0.5,Bay & Lakes,Western Hemisphere,United States
31/12/2014,Soybeans,No.3 CANADA,0.4,Bay & Lakes,Western Hemisphere,United States
31/12/2014,Soybeans,No.4 CANADA,0.5,Bay & Lakes,Western Hemisphere,United States
31/12/2014,Soybeans,No.5 CANADA,0.1,Bay & Lakes,Western Hemisphere,United States
31/12/2014,Soybeans,OTHER,0.2,Bay & Lakes,Western Hemisphere,United States
31/12/2014,Peas,All grades combined,8.6,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Peas,All grades combined,101.3,Vancouver,Asia,Bangladesh
31/12/2014,Peas,All grades combined,42.8,Vancouver,Asia,China P.R.
31/12/2014,Peas,All grades combined,384.8,Vancouver,Asia,India
31/12/2014,Peas,All grades combined,21.9,Vancouver,Asia,India
31/12/2014,Peas,All grades combined,0,Vancouver,Western Hemisphere,United States
31/12/2014,Corn,No.1 CW,0,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Corn,No.2 CE,0.7,Bay & Lakes,Western Hemisphere,United States
31/12/2014,Corn,No.3 CE,0.2,Bay & Lakes,Western Hemisphere,United States
31/12/2014,Corn,No.3 CE,27.5,St. Lawrence,Western Europe,Ireland
31/12/2014,Corn,No.4 CE,0.3,Bay & Lakes,Western Hemisphere,United States
31/12/2014,Corn,No.5 CE,0.1,Bay & Lakes,Western Hemisphere,United States
31/12/2014,Mustard seed,No.1 CANADA,1,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Lentils,No.1 CANADA,1.9,Prairie Elevators,Western Hemisphere,Mexico
31/12/2014,Lentils,No.1 CANADA,0.5,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Lentils,No.2 CANADA,9.1,Vancouver,Asia,Bangladesh
31/12/2014,Lentils,No.2 CANADA,41.6,Vancouver,Asia,Turkey
31/12/2014,Lentils,No.2 CANADA,10.3,Thunder Bay,Asia,Turkey
31/12/2014,Lentils,No.3 CANADA,12.1,Vancouver,Asia,Turkey
31/12/2014,Chick peas,No.1 CANADA,0.1,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Wheat,No.1 CW RS,56.9,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Wheat,No.1 CW RS,30.2,Vancouver,Asia,Bangladesh
31/12/2014,Wheat,No.1 CW RS,21.7,Vancouver,Asia,Japan
31/12/2014,Wheat,No.1 CW RS,13.2,Vancouver,Asia,Japan
31/12/2014,Wheat,No.1 CW RS,30.5,Prince Rupert,Asia,Bangladesh
31/12/2014,Wheat,No.1 CW RS,38.5,Prince Rupert,Asia,Indonesia
31/12/2014,Wheat,No.1 CW RS,58.3,Prince Rupert,Asia,Japan
31/12/2014,Wheat,No.1 CW RS,11,Prince Rupert,Asia,Malaysia
31/12/2014,Wheat,No.1 CW RS,14.3,St. Lawrence,Africa,West Africa
31/12/2014,Wheat,No.2 C PS,30,Vancouver,Western Hemisphere,Chile
31/12/2014,Wheat,No.2 C PS,9.9,Vancouver,Western Hemisphere,Colombia
31/12/2014,Wheat,No.2 C PS,49.3,Prince Rupert,Asia,Sri Lanka
31/12/2014,Wheat,No.2 CE,2.6,Bay & Lakes,Western Hemisphere,Puerto Rico
31/12/2014,Wheat,No.2 CE,17.2,Bay & Lakes,Western Hemisphere,United States
31/12/2014,Wheat,No.2 CE,10.8,St. Lawrence,Africa,Nigeria
31/12/2014,Wheat,No.2 CE,10.6,St. Lawrence,Western Hemisphere,Brazil
31/12/2014,Wheat,No.2 CE,5.6,St. Lawrence,Western Hemisphere,Dominican Republic
31/12/2014,Wheat,No.2 CW RS,54.5,Vancouver,Asia,Bangladesh
31/12/2014,Wheat,No.2 CW RS,35.3,Vancouver,Asia,Malaysia
31/12/2014,Wheat,No.2 CW RS,16,Vancouver,Western Hemisphere,Chile
31/12/2014,Wheat,No.2 CW RS,58.7,Vancouver,Western Hemisphere,Colombia
31/12/2014,Wheat,No.2 CW RS,14.9,Vancouver,Western Hemisphere,Colombia
31/12/2014,Wheat,No.2 CW RS,11,Vancouver,Western Hemisphere,Ecuador
31/12/2014,Wheat,No.2 CW RS,11,Vancouver,Western Hemisphere,Ecuador
31/12/2014,Wheat,No.2 CW RS,54.3,Vancouver,Western Hemisphere,Mexico
31/12/2014,Wheat,No.2 CW RS,11,Vancouver,Western Hemisphere,Peru
31/12/2014,Wheat,No.2 CW RS,37.2,Vancouver,Western Hemisphere,Peru
31/12/2014,Wheat,No.2 CW RS,46.2,Prince Rupert,Asia,Malaysia
31/12/2014,Wheat,No.2 CW RS,28.9,Prince Rupert,Asia,South Korea
31/12/2014,Wheat,No.2 CW RS,21.4,Prince Rupert,Asia,Sri Lanka
31/12/2014,Wheat,No.2 CW RS,47.3,Prince Rupert,Western Hemisphere,Peru
31/12/2014,Wheat,No.2 CW RS,16,Churchill,Western Europe,Belgium
31/12/2014,Wheat,No.2 CW RS,41.9,Churchill,Africa,Nigeria
31/12/2014,Wheat,No.2 CW RS,33,Churchill,Western Hemisphere,Mexico
31/12/2014,Wheat,No.2 CW RS,16.1,Thunder Bay,Western Europe,Italy
31/12/2014,Wheat,No.2 CW RS,17.1,Thunder Bay,Western Hemisphere,Puerto Rico
31/12/2014,Wheat,No.2 CW RS,16.2,St. Lawrence,Africa,Nigeria
31/12/2014,Wheat,No.2 CW RS,57.1,St. Lawrence,Africa,West Africa
31/12/2014,Wheat,No.2 CW RS,31.7,St. Lawrence,Western Hemisphere,Brazil
31/12/2014,Wheat,No.2 CW RS,23.1,St. Lawrence,Western Hemisphere,Dominican Republic
31/12/2014,Wheat,No.2 CW RS,2.8,St. Lawrence,Western Hemisphere,Puerto Rico
31/12/2014,Wheat,No.2 CW RS,25,St. Lawrence,Western Hemisphere,Venezuela
31/12/2014,Wheat,No.2 CW SWS,13.8,Vancouver,Western Hemisphere,Chile
31/12/2014,Wheat,No.2 CW SWS,9.4,Vancouver,Western Hemisphere,Colombia
31/12/2014,Wheat,No.3 CE,0.1,Bay & Lakes,Western Hemisphere,United States
31/12/2014,Wheat,OTHER,19.4,Thunder Bay,Western Hemisphere,Colombia
31/12/2014,Wheat,No.1 CW AD,29.6,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Wheat,No.1 CW AD,1.9,Thunder Bay,Africa,Morocco
31/12/2014,Wheat,No.2 CW AD,25.9,Vancouver,Asia,Japan
31/12/2014,Wheat,No.2 CW AD,0.8,Vancouver,Western Hemisphere,Chile
31/12/2014,Wheat,No.2 CW AD,16,Vancouver,Western Hemisphere,Peru
31/12/2014,Wheat,No.2 CW AD,13.8,Thunder Bay,Africa,Algeria
31/12/2014,Wheat,No.2 CW AD,26.3,St. Lawrence,Western Europe,Belgium
31/12/2014,Wheat,No.2 CW AD,23.8,St. Lawrence,Africa,Algeria
31/12/2014,Wheat,No.2 CW AD,3.3,St. Lawrence,Africa,West Africa
31/12/2014,Wheat,No.3 CW AD,52.3,Vancouver,Western Europe,Italy
31/12/2014,Wheat,No.3 CW AD,30.8,Vancouver,Western Europe,Italy
31/12/2014,Wheat,No.3 CW AD,26,Vancouver,Asia,Turkey
31/12/2014,Wheat,No.3 CW AD,14.3,Churchill,Western Europe,Belgium
31/12/2014,Wheat,No.3 CW AD,8.4,Thunder Bay,Western Europe,Germany
31/12/2014,Wheat,No.3 CW AD,24.4,Thunder Bay,Western Europe,Italy
31/12/2014,Wheat,No.3 CW AD,157.1,St. Lawrence,Western Europe,Italy
31/12/2014,Wheat,No.3 CW AD,27.5,St. Lawrence,Africa,Morocco
31/12/2014,Oats,No.1 CW,1,Prairie Elevators,Western Hemisphere,Mexico
31/12/2014,Oats,No.1 CW,95,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Barley,No.1 CW,15.6,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Barley,No.1 CW,65.7,Prince Rupert,Asia,China P.R.
31/12/2014,Barley,OTHER,10.1,Vancouver,Asia,China P.R.
31/12/2014,Rye,No.1 CW,4.8,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Flaxseed,No.1 CW,0.1,Prairie Elevators,Western Hemisphere,Mexico
31/12/2014,Flaxseed,No.1 CW,7.4,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Flaxseed,No.1 CW,2.1,Vancouver,Asia,Japan
31/12/2014,Canola,No.1 CANADA,20.2,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Canola,No.1 CANADA,421.1,Vancouver,Asia,China P.R.
31/12/2014,Canola,No.1 CANADA,273,Vancouver,Asia,Japan
31/12/2014,Canola,No.1 CANADA,18.9,Vancouver,Asia,Japan
31/12/2014,Canola,No.1 CANADA,46.2,Vancouver,Western Hemisphere,Mexico
31/12/2014,Canola,No.1 CANADA,124.3,Prince Rupert,Asia,China P.R.
31/12/2014,Canola,No.1 CANADA,46.2,Prince Rupert,Western Hemisphere,Mexico
31/12/2014,Canola,No.1 CANADA,41.8,Churchill,Western Hemisphere,Mexico
31/12/2014,Canola,No.1 CANADA,21.2,Thunder Bay,Western Hemisphere,Mexico
31/12/2014,Soybeans,No.1 CANADA,6.6,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Soybeans,No.2 CANADA,70.4,Vancouver,Asia,China P.R.
31/12/2014,Soybeans,No.2 CANADA,60.3,Bay & Lakes,Western Europe,France
31/12/2014,Soybeans,No.2 CANADA,3.9,Bay & Lakes,Western Europe,Ireland
31/12/2014,Soybeans,No.2 CANADA,38.2,Bay & Lakes,Western Europe,Italy
31/12/2014,Soybeans,No.2 CANADA,42.3,Bay & Lakes,Western Europe,Netherlands
